Score,Text
3,"Shipping was prompt.  Packaging was good.  However, the 'bulk' product was actually more expensive (~$1 or 13% more) and not as good as available locally 'by-the-piece' in downtown Chicago.<br /><br />In addition, we were hoping that there would be nutritional information.  There was not.  Instead, there were 76 pieces in a plain plastic bag weighing 16.1 ounces.<br /><br />So, overall the vendor performed well but there was no value added.<br /><br />Quality Comparison<br />-----------------------<br />The wrapping was similar but the candy is less sweet like it contains HFCS instead of honey and the texture is noticeably coarser and seems to stick to our teeth a lot more.  This made us miss the nutritional disclosures even more.<br /><br />Cost Comparison<br />--------------------<br />Bayside Candy on Amazon = $8.59 / 76 pieces = $0.113<br /><br />Downtown Chicago at Kramer's Health Foods = $7.60 / 76 pieces = $0.10 or about $1 less for the same quantity and we have the flexibility to buy as many or few as we like.<br /><br />In short, we found no advantage and will continue to drop at in the local health food shop and get our sesame treats along with a friendly smile and without the extra packaging waste or wait for delivery.  Amazon's great, but you can't win 'em all."
3,"These should be amazing.  Really, just look at that picture!  A chocolate chip cookie that is chewy on the outside and full of creamy fudge.  Good glory, I could go into a happy coma just thinking about it.<br /><br />Unfortunately, they are not so good.  The fudgey middle is actually just a bigger chocolate chip, and the cookie is more crumbly and dry than chewy.  The taste is heavily dominated by all of that chocolate, and the chocolate, while not bad, is not good enough to stand on its own.<br /><br />Don't break your heart by buying these.  Just look at the picture and dream."
3,I love blueberries but the ones in this pouch remind me of burnt crumbs. I pick them out and eat the rest.
3,"We are huge Green Mountain fans and excitedly ordered this coffee earlier this month, but I must admit that it doesn't have a true, what I would call, ""pumpkin spice"" flavor.  It's more like nutmeg and cinnamon flavored water.  I tend to like bolder coffee (I'm a Double Black Diamond gal), and was thinking that this is why I was let down, but my husband (who is a Breakfast Blend guy) didn't like it either.  I compared the flavor of this coffee to some coffee that we purchased in a local store, which was also entitled, ""Pumpkin Spice,"" and the other coffee was way more rich with pumpkiny flavor than this one.  I will most likely finish the box but I'm not clamoring for it every morning.  Hey maybe I'll offer it to unsuspecting guests!  If you're just looking for something seasonal, it might be a good buy.  But if you're a purist and expect the flavors to run deep, you might want to look elsewhere."
3,"It pops into large kernels, but the flavor and texture of this popcorn just isn't as good as the Baby White from Amish. If you're looking for the perfect movie theater style popcorn, get the Baby White and skip this one. However, this popcorn isn't bad and I would prefer it over the grocery store Orville crap. I didn't have many unpopped kernels but this popcorn has fairly large hulls."
3,"The formula is wonderful - I haven't had a single problem since I started using it when my baby was 3 months old.  He's now 9mths and is still doing great on this stuff...I'm just glad he's almost near the end of his formula days since it's the price (specifically the Amazon price) I'm not happy with.<br /><br />I've been buying this formula from Amazon since March 2012 - and at that time it was the best price out there - $36.70 for a 6pk ($6.12/bottle).<br /><br />Then by August the price had jumped to $38.16 ($6.36/bottle) - but still the cheapest price out there, so I wasn't complaining.<br /><br />Now - October - the price has jumped yet again to $41.94 ($6.99/bottle)  - making it more expensive than Walmart or Target.<br /><br />The seller has always been Amazon (not another seller through Amazon) - so it's not a change in seller causing the price changes.  I just hope the price raises were out of necessity...and I guess I'll have to take my $180 a month elsewhere from now on."
3,"I drink several cups of tea a day. I like Earl Gray but the Bigalow doesn't have the intensity and spunk I expect from tea. Leaving it steep longer makes it nasty and bitter, of course. I won't order it again. It isn't bad, it just isn't my cup of tea."
3,"I thought these were going to be sliced sweet potato's, but they are not part of the ingredients. It's actually sweet potato flour. In addition, there is rice flour and corn flour mixed in. I think the taste of the corn flour overpowers the sweet potato flavor. Overall, the chips taste like salty corn flakes with a hint of sweet potato.  Overall, probably fairly healthy for what they are (low in fat), but short on taste. If you are not expecting a strong sweet potato flavor, then these may be a good choice for you."
3,"We luved original Zico, but now its taste totally different.<br />When introduced it was pure coconut water which was just pasteurized.  Now it says its from concentrate.<br /><br />Taste little different now!"
3,This product isn't bad but it doesn't hit the sweet sweet spot for me.<br />I cannot remember where or what brand of popcorn it was so the search continues.<br />If I find it again - I'll update and modify the review...
3,"Well, when I ordered this I wasn't quite sure what to expect, but it sure wasn't a roll on deodorant container filled with stinky liver flavored liquid.  For me personally, I've always stood by the belief that while the dogs are the one enjoying the dog toys and treats, the are more made for the humans than anything else and there is something totally repugnant about a dog eating from a deodorant container.<br /><br />Jilly, my puppy, loved it.  She kept on trying to take it out of my hand and bite at the container until she realized she had to lick but she did love the flavor.  The only real negative is that Jilly got ""liver breath.""  Also the ball in the container didn't spin and I had to squeeze and I got a drip or two on the floor.  I have wood floors so no harm no foul, but if you have carpeting you might get a stain, but Jilly helped with the clean up.<br /><br />But I couldn't quite get over the container and even though Jilly loved it the doggy breath and the fact I didn't like her licking a deodorant container was a big turn off.  Plus, if I used roll on deodorant I won't want my dog to associate it with treats, in case she got in the bathroom and ate the real deodorant which I'm sure could make her very sick.<br /><br />3 Stars.<br /><br />UPDATE:  The cat found this on the table and started pawing at it, so I opened it for her so she could have a lick and she loves it more than the dog!"
3,"Product came all bent out of shape, probably due to shipping. Big enough to fit 2 dishes. If I place the water dish on the warped side it holds the mat down. It's OK"
3,"My one complaint is the package clearly indicates the pasta cooks quickly...in 8-9 minutes. Well, I've prepared it twice now and both times took a minimum of 20 minutes to get the middle to soften up. Keep that in mind when making dinner because it definitely is not going to cook nearly as fast as the bag indicates.<br /><br />On a positive note, the product tastes fairly good. It also works well as a cold pasta for salads and, of course, the fact that it is gluten-free is a healthy choice for those with gluten intolerance.<br /><br />I gave the product 3 stars because it's a middle-of-the-road review for me. Good points and bad...so it's about average."
3,"I ordered the vanilla coffee for my college age children.  Unfortunately, there were shipping delays and it did not arrive until the kids had returned to college for the Fall semester.  Update to come when they finally come home for a break -- it may be a while.  The other coffees I have ordered have all been tasty and a very good value, I have no reason to believe this will be any different. I can say that the k cups and the Keurig have been delightful.  I enjoy having a freshly brewed cup every time and like that I save a bunch of money by brewing at home into a travel mug rather than stopping to drop $2.00 for a cup on the way to work.  Saves all those styrofoam cups too!"
3,"This was my first matcha and then i worked my way up to uji matcha manten which is the most expensive best matcha in the world 60 dolalrs for 40 grams.<br /><br />then i came back to this. it was great at first but after getting spoiled by uji matcha, ippodo and hibiki-an the bitterness after taste is too strong for me."
3,"<span class=""tiny""> Length:: 1:01 Mins<br /><br /></span>Lickety Stik is a lickable (vs. edible) dog treat that comes in a variety of flavors, such as bacon, liver and chicken.  The container looks something like an old-style stick of deordorant with a plastic ball under the cap that LOOKS like it would roll around, but is actually stationary.  You squeeze the bottle until the gravy-like liquid treat starts to ooze out AROUND the ball and the dog licks it off. If you're not careful (i.e., if you squeeze too hard, esp. if you are treating a small dog like mine), you could end up with a mess on the floor.  That said, it is not difficult to master how hard to squeeze to treat the dog...just be forewarned to squeeze gently until you find the right pressure to use.<br /><br />As you will see in the accompanying video, my dog adores the flavor (I was using the liver flavor Lickety Split in the video).  She whines for it sometimes several times a day (she knows where I keep it).  However, she has a sensitive stomach and I have had to switch over to predominantly allergy-formula food and treats to reduce (and almost eliminate) the frequency of her spit-ups.  The day after I gave her the first taste of Lickety Stik, she spit up for the first time in a few months.  Perhaps that had nothing to do with it and it was something else, but it did make me wary of treating her with this product too often.<br /><br />Note that the packaging says this product is ""All-Natural with Vitamins,"" that there is only ""1 calorie in every 10 licks"" and that there are ""over 500 licks per bottle.""  The product is made in the USA.<br /><br />I can see where this product would be an excellent one to use for training purposes or on car trips, when you don't want to have to carry a lot of treats with you.<br /><br />Edited 10/11/11 to add that, after reviewing a couple of other reviews, it appears that the rollerball is SUPPOSED to roll, which was my assumption, but it did not on either of the ones I have used (bacon and liver flavors).  I just opened them up and tried to forcibly roll the ball.  I was able to on one but not the other.  Perhaps it varies by container or perhaps it takes a good while of use before the ball starts rolling.  I've been using it about a week."
3,"This is no more than a finely ground garlic powder.  Good, but able to buy in a store.  No magic about it."
3,I usually drink Twinnings earl grey.  I opted to try something new and i love bergamont so i figured DOUBLE BERGAMONT would be amazing. Well this tea smells amazing but it is very very weak. I have to use 2 teabags vs 1 twinnings tea bag and seep it for 7+ min in order to get the equal flavor i would get from twinnings. I wish this tea was stronger in flavor not just in smell.
3,"This looks like a ""good for you"" product, what with the honey and green tea and acai and all, but I was disappointed to find sucralose (artificial sweetener) on the ingredients list. I love the convenience of having a tube of powder to pour into my water bottle and shake... and I did like the taste, but I probably won't be buying more because of the sucralose."
3,"We've been purchasing direct from retail stores, either PetSmart or Felix & Oscar's in Springfield, VA.  The condition of the cans shipped was not as good as I would have hoped.  Several cans were dented in each shipment.  Quality of the cat food is very good; cost savings may outweigh the shipping issues and the convenience of not going to the pet store."
3,I was a little disappointed with this product. When I use it it imparts a flavor to the food that I don't like. It's slight but noticeable. Since the flavor of food is very important to me I stopped using it. Others might not notice this difference.
3,"I really enjoy flavored coffees, and like how mild Melitta coffees are. (I am not a fan of French roast (i.e., Starbucks) - it's too bitter and burnt tasting for me.) Melitta's French vanilla flavor, however, is my least favorite of the Melitta flavored coffees (behind hazelnut and morning decadence). I find that the flavor is too overwhelming and cloying. For those who like strong flavor, this will be a hit, but I find that I have to mix it (1 spoon of flavored to 2 spoons of regular) in order to enjoy it."
3,"I haven't had any American junk food in so long, so I found this snack a bit too salty for my taste, and oily as well."
3,"Because it's easily available, this is my go-to mix when I need to make something. Because it only makes one layer, I use it to make cupcakes, muffins or a layer I can split and fill (such as Boston cream pie).<br /><br />The mix is rather lackluster by itself; it needs help. Because it has plenty of xanthan gum in it, it's easy to doctor this mix. Recommended additions are blueberries + lemon peel, or peanut butter, or a mashed banana and a dash of cinnamon. Vanilla always helps too.<br /><br />By itself the texture is rather dry and coarse. I coax the most out of this mix by using buttermilk, vanilla, and the two-stage mixing method."
3,"I bought these for my child who struggles with constipation and has to eat a lot of fiber. He loves the taste of them and we to too.BUT...<br /><br />I sat down and read the ingredients on the wrapper today and was shocked. The fiber content IS good but there are also BHT and hydrogenated oils in the bar.<br /><br />I am not a foodie by any means. I don't always eat organic. I am just shocked that for a ""healthy"" snack this bar has these ingredients.<br /><br />There is also a fair amount of sugar in the bar. Don't get me wrong, sugar is fine in reasonable amounts but for diabetics it may not be good to eat this bar.<br /><br />Also.... be prepared...these can cause BAD gas. Start out slow !"
3,"Flavor is so-so (not entirely worth the calories). Without the massive introductory discount, I would not buy this product from Amazon again. Too expensive. I've found it significantly cheaper at my local grocery store."
3,"Nice chew alternative to rawhide when they are allergic to beef.  I have to say the beagle likes them a lot more than the lab, he tends to let them lay there til last resort.  They both like the really thin pork ties so maybe the rolls are just too thick for the lab."
3,Received the tart cherry juice and noted too much bubbles and foam at the top of the bottle. Was it suppose to be this foamy and is it safe to drink it.
3,When I purchased the product there was no nutritional information.  There was none at the Omaha Steak web site either.  I bought it expecting fish to be a healthy product.  I requested the company to send out nutritional information after my purchase.  It has 8g of transfat.  The sole almondine tastes fine but I would not purchase it again because of the transfat.  I baked it in a drip pan to remove as much of the fat as possible.
3,"The CytoSport energy drink is a helpful sports supplement. It does give a noticeable boost to help power through intense hour long cardio classes such as Spinning, Cardio Kickboxing and Zumba. There has been overall improvement in fitness, performance and an ability to increase workout frequency & time from using this supplement. It definitely helps in post workout recovery, little to no muscle soreness. Beats the muscle burn from Spinning and Kickboxing.<br /><br />I have previously used the Pomegranate flavored powder and it tastes more like 1980's Red Kool Aid punch than Pomegranate.<br /><br />The Fresh Apple flavored Cytomax is supposed to be a green apple flavor. Unfortunately, it tastes strongly of plastic with a hint of green apple. I would return it if I could.<br /><br />Also, if you use a sports bottle that holds 24 oz. count on using two scoops of the powder per bottle fill.<br /><br />The Cytomax works better if you drink a small amount 15 minutes before your workout, as directed."
3,"I have a Boston Terrier, who likes to chew, but won't just chew on anything.  After a bad experience with a tennis ball (that he got hold to) and his intestinal tract, I've been very selective about the toys I give him. A lot of the other pet owners that reviewed here had pets on the upper end of that 50lb scale and my Boston (at adult development) is only around 20lbs, if that. So, I thought I'd give this a try and watch out for complete destruction of the toy. Well, from day 1 when we received this he took to it immediately. I don't know if this has a flavor, but he didn't touch any of the other toys we received the same day... only this one. And, he's chewed on it every day now for about 4 months.  Only recently did I begin to notice that he'd finally broken through a corner and I tossed the toy. That white plastic can kill his intestinal organs if it gets in there.  So, for the price vs. the length of time it lasted and he enjoyed it without cause, it's an ""ok"" toy. I'm going to buy him another one, but I think the key is to stay vigilant and be sure that once your pet seems to start puncturing through this, it needs to be thrown out immediately. Since he is quite literally never alone, this is not as big an issue as it may be for other pet owners.  Please keep this in mind before buying!"
3,These chips were good but I just wish there was more of the cheddar chasse kind because they're my favorite. They give you all them plain. But overall it was at a great price. I've never had any problem buying things from here.
3,"We had a lego birthday party for my sons seventh birthday.  These candy blocks were fun, as you can build with them. however they were very hard.  I overheard more than one adult guest make a comment about not breaking a tooth.  Maybe they need to be that hard in order to build with them?"
3,"When I first ordered Switch, I was looking forward to something that was light, refreshing and tasted like black cherry.  Perhaps I am use to the taste of black cherry soda?  I am not sure about that, but I am sure that it didn't taste like black cherry.  It was just ""okay"".  I wasn't thrilled about the product, but I also wouldn't go out of my way to tell people that I don't like it.  Bottom line, I would not order it again, but I would try another flavor. The idea is there!  I'm curious to see if the flavor is!"
3,"I can't give more than a 3 star average for this item, when considering the flavor and taste of this ""organic chocolate"" bar.<br /><br />Like some other Newman's Own food products that I've tasted, it doesn't offer any special quality, other than that the ingredients are virtually all ""organic"".  Unfortunately, our local, state and Federal requirements for ""organic"" foods, are severely flawed, and this product potentially  illustrates this problem quite well.<br /><br />The ingredients in these chocolate bars may meet most standards for organic foodstuffs, but there is an important element missing in the case of chocolate, that most people don't understand.<br /><br />I have read several articles recently about the high lead content of much of the chocolate that we consume, and for a period of time this problem was presumed to be that the cocoa beans themselves were (are) contaminated with lead, due to the leaded gasoline  in the engines of the farming equipment used in those countries that grow cocoa beans.<br /><br />However, some articles mention that lab analyses show that raw cocoa beans themselves have a relatively low amount of lead in them, compared to the final, processed chocolate products (and compared to other similar food products).  Some observant writers have then suggested that the high lead concentrations in cocoa products, are probably due to lead in the air near and over the drying beds, where the beans themselves are dried.  The reason for this contamination would be similar to the original theories, since there is likely high lead content in the air around these drying beds, for the prior reasoning (the lead in the gasoline used on the cocoa bean farms is emitted by tractor and other vehicle exhaust,  and then these contaminants attach themselves to the drying cocoa beans).<br /><br />At any rate, if the price of Newman's Own organic dark chocolate is as high as I suspect it is,  I would recommend buying a cheaper brand of chocolate bar (""organic"" or not), since there's no way to know whether Newman's Own chocolate has less (or more) lead in it, than other brands do."
3,"Walkers shortbread thins are a favorite at my house but hard to find. I was thrilled to find them on Amazon even though the price was more than a retail store. But the shipping was free in this case so I bought them. The cookies arrived bundled in a set of 4 boxes as expected. However, every cookie in each box was broken. This does not change the quality taste of these cookies (butter, lemon and raspberry choices) but it definitely limits serving options. I will not likely serve broken cookies at a party or special occasion. I was very disappointed that all the cookies were broken, none were intact. I will be highly hesitant to buy them through Amazon again."
3,"We are from the southwest, as a family we don't eat Thai, but I bought this to expose my daughter to other flavors.  I don't know if it tastes like Thai, but the smell is strong and I pair it with bananas."
3,"We have been big fans of these Altoids for a long time. They are a great breath freshener and cough suppressant. It makes a suitable replacement for preserved ginger candy. However, the old Altoids made in England were much better than the new ones made in the US. The English version was not as sweet and tasted more like real ginger. We still have some of the old version and the differences are very evident. Still, the new ones are the best mass produced mints out there in the market - and the only place we could find to buy them is through Amazon. They are not on retail racks."
3,"The Kind bars are just too sweet for me. But I love the fruit and nut ratio and crunch with every bite. I was hoping this would work because it's gluten and wheat free, all natural, has a low glycemic index and a decent amount of fiber, no trans fats and the price is great on Amazon and with ""subscribe and save"" it's even cheaper."
3,"I must say that my dog and all at the dog park LOVE these treats. Even the very fussy boxer sniffs at my pocket waiting for them. The sizes are quite variable which is ok.<br /><br />The product arrived with no protective covering on either the outside of the tub or under the lid which bothered me a bit (not sure if they had been open, returned by someone, then sent to us) so that is why I rated 3 stars.<br /><br />The amount of product for the price is great!<br />I would most likely purchase again."
3,"The Dilmah is a competent black tea.  There was nothing remarkable about the taste or the experience.  It is very finely ground, so make sure your tea holder has very small holes or you will end up with loose tea in your cup."
3,"have not tried the tea yet, i purchased it after reviewing an article by Dr Oz that that suggest using this mixed with another tea to boost ones metabolism"
3,"These became my favorite meal bars after I purchased a few at a gas station while evacuating during Hurricane Katrina. They were sugar free, and, to me at least, tasted a little like Snickers (or at least how I remembered Snickers tasting; I hadn't had one in a while).<br /><br />Somewhere in there, Kraft changed the formula, adding sugar while still retaining some of the artificial sweeteners. I found the taste to be similar, but not nearly as good. Worst part was a metallic aftertaste.<br /><br />Well, Kraft stopped producing these, and I didn't miss them too much, because they weren't the same. I still checked periodically to see if they would come out again, though. I saw recently that they'd been rereleased, but also that they'd been reformulated yet again. Now they're chewy (they had been crunchy) and are sweetened without artificial sweeteners (they use stevia, a natural sweetener, in addition to more sugar). It has a stronger peanut taste than before, very different from the Kraft bars. At least that metallic taste is gone.<br /><br />I would strongly recommend buying a single box (or single bar if possible) if you want to try these. I used to prefer this flavor to the chocolate South Beach meal bars, but now I prefer the chocolate. The taste of those actually improved with the reformulation. I'd rate the original chocolate peanut butter meal bars 5 stars, the new chocolate meal bars 4 stars, and these new chocolate peanut butter meal bars 3 stars.<br /><br />What I'd really like is for someone to produce 1% cheese slices like Kraft produced under the South Beach name a while back. I only found it at Sam's Club for a short time."
3,"Both my wife and I are big fans of Mini-Wheats. My wife loves the <a href=""http://www.amazon.com/gp/product/B003ZHO7JK"">Kellogg's Frosted Chocolate Mini Wheats Little Bites Cereal 16 oz</a> while I used to love the raisin filled mini wheats they made in the 90s. Sadly, they've since been replaced by the artifically flavored and erroneously named <a href=""http://www.amazon.com/gp/product/B004CYLWGQ"">Frosted Mini-Wheats Cereal, Touch of Fruit in the Middle (Mixed Berry), 18-Ounce Boxes (Pack of 4)</a>.  As we're both fans of cinnamon rolls and the new <a href=""http://www.amazon.com/gp/product/B006BXUZVO"">Kellogg's Raisin Bran Cereals, Cinnamon and Almond, 14.5-Ounce (Pack of 4)</a> (also by Kellogs), this seemed like a good one to try.<br /><br />Unfortunately, I really didn't like it. I didn't taste any cinnamon at all and the icing on the mini-wheats doesn't taste like any cinnamon roll topping I've ever had. I've had ones from organic co-ops to Pillsbury DoughBoy encrusted ones. This just tasted...odd and unpleasant to me. After finishing a bowl, I realized that it tasted like my rabbit's hairball medicine smelled. molasses and malt. Sure enough, malt flavoring is the main ingredient in the icing. As such it was hard to want to take eat any more after the mental picture of me gulping down Laxatone developed. On the plus side, my rabbits REALLY wanted this cereal. It's pretty close to what they eat anyway.<br /><br />My wife liked the cereal however, She didn't think it tasted like cinnamon rolls, but she found the taste pleasing. As such the cereal was one for two in my household and so it gets a thumb's in the middle here. One last note though, each serving is 47 grams of carbs. That's pretty impressive."
3,"This tea has an awfully light flavor. I use this powder to make green tea lattes and green tea frappes. Very tasty. I generally shake 12 ounces cold milk, 2-3 packets of this tea powder, and 1 ounce simple syrup, then pour it over ice. Tho make the frappe, I blend the same ingredients with ice, instead of pouring it over ice. It is annoying that to make a small drink I need to use 2-3 times more than expected."
3,"We've had a K cups coffee brewer for two years and this is the best coffee we've come across so far.  In general the brewer produces weak coffee, even if one selects the 'small cup' size.  Tully's Italian and French Roasts partially overcome this with a bold roast or perhaps just more coffee per cup.  On a scale of 1 - 10 where 1 is a cup of Folger's crystals and 10 is cup of Starbucks coffee brewed on a Clover, this comes in around a 6 or 7.  Not fantastic but very drinkable."
3,Once again I did NOT receive COMVITA Raw Honey.  This is not the first time that the supplier substituted another New Zealand honey for the Comvita Honey which I had ordered.  The two are not the same and I will not order the 35.2 ounce jars again because I do not have this problem when I order Comvita honey packaged in small jars.
3,I had my doubts about this but I bought it anyway and now I must say it's pretty tasty.  I add some splenda and it's quite good.  I have only used it for iced tea but I also wonder how it would do in a hot toddy this winter...
3,"To start, I'm a big fan of Blue Diamond brand Almonds. I really like the bold flavors, Habanero BBQ and Lime & Chili. I had never seen the Blazin' Buffalo Wing flavor at the local grocery store so I ordered them here on Amazon.<br /><br />When you first put an almond in your mouth you get the initial hint of buffalo wing flavor but it quickly goes away and then just tastes kind of strange.<br /><br />They aren't bad but they aren't my favorite. Every bodies taste buds are different so you might like them but I don't think I'll buy this flavor again."
3,"One of my cats liked this food, although not as much as he liked the Petite Cuisine Seafood Variety Cat Food, and my other cat wouldn't touch this food; however, she does like the Petite Cuisine Seafood Variety. This variety of food comes with chunks of chicken, chunks of vegetables and gravy. I'm guessing my finicky cat was turned off by the vegetable chunks. On the positive side these cans are easy to open and you can pour the food out without having to use a spoon. However, because one of my cats wouldn't touch this food I won't buy it again. I'll stick with the Petite Cuisine Seafood Variety Cat Food."
3,"Best croutons around, but this price is ridiculous. You can buy these at Walmart for $1 a bag. I buy 6 bags at a time whenever I'm in the store."
3,"......for whatever reason, these are just too mushy.  I've gotten them from Amazon twice now and both times they've been like this.  They should be a little more aged or firm or whatever you want to call it.  It's hard to snap into a Slim Jim when it's mush.  I think I'll just stick to buying them in a store."
3,"I have been trying to reduce fat, specifically the bad fats, in my diet lately, and try to find ways to increase fiber without eating things that taste like cardboard, so when I had a chance to try coconut manna, I jumped at it.  The packaging says it is a healthy substitute for butter, and can be used as a spread.  My mouth watered at the idea of a bit of this, some nutella, and a banana wrapped up in a whole grain wrap.  The potential here was exciting for someone who loves coconut like I do.<br /><br />The packaging indicated that the oil separates from the coconut, and you must put the container in hot water for five to ten minutes for everything to soften, so that you can stir it all up to a nice smooth consistency.  Sound pretty easy right?  Wrong.  I found after leaving the container in a bowl of hot water for 10 minutes, it was still too hard to stir.  It took three rounds of hot water bath-vigorous stir cycle to get this to wear I could use it.  I tasted it, and was sad that it did not taste nearly as good as I anticipated.  It also had a weird gritty texture, and overall I was not crazy about it.<br /><br />Since clearly this was not going to work as a spread for me, I instead used while cooking mulligatawny soup.  I had created a low fat version of the soup without butter, cream, or milk, so the coconut manna helped add a bit of richness to it.  However, it is still a bit high in calories to be something I would use daily.  I will probably continue using olive oil for much of my cooking, but I do plan on experimenting with the coconut manna when making smoothies, sauces, desserts, and ethnic dishes.  It did nicely in my soup.<br /><br />I am not completely sold on coconut manna, but I am not ready to give up on it either."
